price,rooms,area,floor,total_floor,district,"address",ZHK,type,year
42042000,3,"100,1",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
17000000,1,41,7,8,Медеу,Тулебаева — Макатаева,,панельный,1974
143390000,4,"220,6",,10,Медеу,Рубинштейна 21А,Клубный дом DeVille,,2017
17000000,2,44,2,5,Алмалы,Радостовца — Карасай Батыра,,панельный,1978
18000000,1,"33,5",3,5,Ауэзов,"мкр. Таугуль 9, Факельная Пятницкого",,панельный,1988
7300000,1,24,3,9,Ауэзов,"мкр. Аксай-1А 28а, Толе би - Яссауи",,монолитный,2010
12500000,1,24,7,10,Алатау,Райымбека 481/1,Акниет,монолитный,2018
203000000,5,254,3,,Медеу,Жамбыла 26 — Валиханова,Академия,монолитный,2002
13000000,1,40,5,6,Жетысу,мкр. Кокжиек 33,,монолитный,2006
11000000,2,38,2,2,Алатау,"мкр. АДК, Кисловодская — Левского",,кирпичный,1971
24500000,3,"58,9",3,5,Бостандык,мкр. Орбита-2 16,,,1976
38000000,2,91,10,18,Алмалы,Прокофьева — Шакарима,Манхеттан (29 квартал),монолитный,2008
62000000,6,170,1,6,Медеу,Есенберлина,Парк Горького,монолитный,2010
29700000,2,62,8,14,Ауэзов,Егизбаева 7/6,,,2015
40500000,5,150,2,2,Алатау,ул. Мойылды 1/9,КГ Карасу,,2019
15000000,1,"22,1",3,5,Алмалы,Маметовой 56 — Наурызбай Батыра,,кирпичный,1981
33000000,3,70,5,5,Бостандык,"мкр. Казахфильм, Алматинская 33",,,1980
21300000,3,55,4,5,Бостандык,проспект Гагарина — Левитана,,панельный,1975
80000000,3,155,2,4,Медеу,Керей-Жәнібек хандар 29,Кокше,монолитный,2004
23000000,3,"58,6",4,4,Ауэзов,"мкр. №1, 1 45 — Алтынсарина",,кирпичный,1963
44000000,2,"92,2",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
17000000,2,44,2,4,Ауэзов,"мкр. №1, 1 мкр. 48 — Улугбека - Алтынсарина",,панельный,1963
26500000,3,91,1,3,Жетысу,мкр. Дорожник 3,,панельный,1980
49900000,4,90,4,4,Медеу,Абылай Хана — Кабанбай Батыра,,кирпичный,1963
16500000,1,"41,8",1,12,Алатау,"мкр. Нуркент (Алгабас-1) 46, Момыш-улы Рыскулова",,монолитный,2015
23000000,2,"65,5",4,13,Турксиб,Майлина 54,Радужный берег,монолитный,2014
25000000,3,65,1,5,Алмалы,Ади Шарипова 21 — Жибек Жолы,,панельный,1974
84387000,3,"122,3",,4,Бостандык,Сыргабекова 55,Венский дом,,2018
9870000,2,"41,9",,3,Турксиб,"мкр. Альмерек, Гульдалинский с/о 1160",Gres Park,,2019
58000000,3,100,2,12,Алмалы,Мауленова 111 — Сейфуллина-Шевченко,Жастар Атамекен,,2007
80000000,3,140,3,7,,Достык 132,Пионер,монолитный,2002
65000000,3,125,9,11,Ауэзов,мкр. Жетысу-3 60,Жетысу,монолитный,2010
84000000,3,110,9,18,Бостандык,Назарбаева 223 — Махатмы Ганди,Жеруйык,монолитный,2013
45500000,3,94,14,17,Бостандык,Навои 208 — Торайгырова,Шахристан,,2009
23000000,2,"55,5",1,5,Ауэзов,"мкр. №11, Шаляпина — Мате Залки",,панельный,1985
31500000,2,"51,5",1,9,Алмалы,улица Жумалиева 84 — Толе би,,кирпичный,2002
150000000,5,200,8,10,Бостандык,Гагарина — Левитана,Комфорт,монолитный,2017
27500000,2,"52,1",9,9,Алмалы,улица Кабанбай Батыра — Ауэзова,,панельный,1982
58000000,3,150,12,20,Медеу,"мкр. Самал, Достык 160 — Жолдасбекова",Алматы Тауэрс,монолитный,2004
